licence_number,permit_type,operating_name,client_name,address,ward,issue_date,expected_end_date,actual_end_date,hours_of_operation,public_conditions
P455373803,AMPLIFIED SOUND,FREE FITNESS CLASSES IN ST JAMES PARK,ST LAWRENCE MARKET BUSINESS IMPROVEMENT AREA,"120 KING ST E, TORONTO, ON M5C 1G6",13.0,2024-07-02,2024-08-28,2024-08-29,,
P455373918,CONSTRUCTION,"SHORING, EXCAVATION AND FORMING ACTIVITIES AT 30 MERTON ST",SKYGRID CONSTRUCTION INC,"30 MERTON ST, TORONTO, ON M4S 1A1",12.0,2024-01-06,2024-04-07,2024-04-08,,
P455376389,CONSTRUCTION,1040 DUFFERIN ST - BELL CANADA,AMHEREST CRANE RENTALS LTD,"1040 DUFFERIN ST, TORONTO, ON M6H 4B6",9.0,2024-01-06,2024-01-07,2024-01-08,,
P455379380,AMPLIFIED SOUND,SKATES AND SOUNDS,DOWNTOWN YONGE BUSINESS IMPROVEMENT AREA,"420 YONGE ST, TORONTO, ON H0H 0H0",11.0,2024-02-02,2024-02-24,2024-02-25,,
P455380626,CONTINUOUS POUR AND/OR LARGE CRANE,CONCRETE POURS AT 23 SPADINA AVE,RELIANCE CONSTRUCTION TORONTO INC,"23 SPADINA AVE, TORONTO, ON M5V 3M5",10.0,2024-01-02,2024-04-13,2024-04-14,,
P455400197,CONTINUOUS POUR AND/OR LARGE CRANE,980 DUFFERIN ST,BLOOR DUFFERIN CONSTRUCTION MANAGEMENT INC,"980 DUFFERIN ST, TORONTO, ON M6H 4B4",9.0,2024-02-22,2024-07-01,2024-07-02,,
P455400304,AMPLIFIED SOUND,ST PATRICK'S PARADE TORONTO,ST PATRICK'S PARADE SOCIETY OF TORONTO," BLOOR/YONGE, TORONTO, ON H0H 0H0",,2024-03-17,2024-03-18,2024-03-19,,
P455400318,CONTINUOUS POUR AND/OR LARGE CRANE,DEVELOPMENT ON THE LANDS NORTH OF DANFORTH GO STATION,6 DAWES CONSTRUCTION MANAGEMENT INC,"6 DAWES RD, TORONTO, ON M4C 5A7",19.0,2024-01-05,2024-06-08,2024-06-09,,
P455356027,AMPLIFIED SOUND,2023 TORONTO CHINATOWN LUNAR NEW YEAR CELEBRATIONS,CHINATOWN BUSINESS IMPROVEMENT AREA,"222 SPADINA AVE, TORONTO, ON M5T 3B3",10.0,2024-01-20,2024-02-12,2024-02-13,,
P455370689,CONTINUOUS POUR AND/OR LARGE CRANE,FORMA,GG DUCAN INC,"266-270 KING ST W, TORONTO, ON M5V 1H8",10.0,2024-01-05,2024-02-14,2024-02-15,,
P455371508,AMPLIFIED SOUND,MPP RAKOCEVIC SKATING PARTY,MPP TOM RAKOCEVIC,"65 MARY CHAPMAN BLVD, TORONTO, ON M9M 0B7",7.0,2024-01-07,2024-01-08,2024-01-09,,
P455371672,AMPLIFIED SOUND,POLAR BEAR DIP,BOOST CHILD & YOUTH ADVOCACY CENTRE,"1755 LAKE SHORE BLVD W, TORONTO, ON M6S 5A3",4.0,2024-01-01,2024-01-02,2024-01-03,,
P455371804,CONSTRUCTION,CONCORD CANADA HOUSE,RELIANCE CONSTRUCTION TORONTO INC,"23 SPADINA AVE, TORONTO, ON M5V 3M5",10.0,2024-01-04,2024-06-30,2024-07-01,,
P455372273,AMPLIFIED SOUND,SISTERS IN SPIRIT VIGIL,NATIVE WOMEN'S RESOURCE CENTRE OF TORONTO,"160 GERRARD ST E, TORONTO, ON M5A 2E5",13.0,2024-10-04,2024-10-05,2024-10-06,,
